taxon_name,genome_size,plant_height,plant_tolerance_soil_salinity,resprouting_capacity_proportion_individuals,reproductive_maturity,seed_viability,fire_time_from_fire_to_peak_flowering,fire_time_from_fire_to_50_percent_flowering,seed_germination_time,fire_time_from_fire_to_fruiting,seedbank_longevity,ploidy,bud_bank_location,clonal_spread_mechanism,dispersal_appendage,dispersal_syndrome,dispersers,flower_colour,flowering_time,fruiting_time,leaf_phenology,life_form,life_history,nitrogen_fixing,plant_growth_form,plant_photosynthetic_organ,pollination_syndrome,pollination_system,post_fire_recruitment,resprouting_capacity,root_structure,seedbank_location,seedbank_longevity_class,serotiny,sex_type,vegetative_reproduction_ability,woodiness_detailed,leaf_type,parasitic,plant_physical_defence_structures,plant_tolerance_inundation,plant_tolerance_salt,plant_tolerance_snow,plant_tolerance_water_logged_soils,seed_dormancy_class,stem_growth_habit,woodiness,plant_growth_substrate,plant_type_by_resource_use,resprouting_capacity_non_fire_disturbance,storage_organ,plant_succulence,plant_flood_regime_classification,flowering_cues,competitive_stratum,post_fire_flowering,recruitment_time,plant_tolerance_calcicole
Acacia decurrens,1.72,8.79,,,,,,,,,,,basal_buds (1); none (1),non_clonal (1),aril (1); elaiosome (1),ballistic (1); myrmecochory (3),ants (1),yellow_orange (1),nnnnnnnnynnn (1); nnnnnnyyynnn (4); nnnnnnyyyyyy (2),yynnnnnnnnny (1),evergreen (1),phanerophyte (2),perennial (9),nitrogen_fixer (3),shrub (4); tree (12),leaf (5),insect (1),biotic_unspecialised (1),post_fire_recruitment (2),fire_killed (4); resprouts (1),arbuscular_mycorrhizal (1); ectomycorrhizal (1),soil_seedbank (3),long_persistent (1); persistent (1),not_serotinous (1),andromonoecious (1),not_vegetative (1),woody (7),,,,,,,,,,,,,,,,,,,,,
Acacia falcata,,3.12,,,,,,,,,,,none (1),,aril (2),zoochory (1),invertebrates (1),white_cream (1); yellow_orange (1),nnnynnnnnnnn (1); nnnyynnnnnnn (2); nnnyyyynnnnn (1); nnnyyyyynnnn (3),,evergreen (2),,perennial (4),nitrogen_fixer (3),shrub (9); tree (5),leaf (1); phyllode (2),insect (1),,post_fire_recruitment (1),fire_killed (4),,soil_seedbank (1),persistent (2),not_serotinous (1),andromonoecious (1),not_vegetative (1),woody (3),broadleaf (1),not_parasitic (1),absent (1),not_applicable (1),salinity_tolerance_undefined (1),not_applicable (1),not_applicable (1),physical_dormancy (2),erect (1); spreading (1),,,,,,,,,,,,
Acacia floribunda,1.96,5.75,,,,,,,,,,,basal_buds (1); basal_stem_buds (1); bud-bearing_root (1); none (1),,aril (2); elaiosome (2),myrmecochory (3); zoochory (1),ants (1); invertebrates (1),white_cream (1); yellow_orange (1),nnnnnnnyynnn (1); nnnnnnnyyynn (1); nnnnnyyyynnn (2),yynnnnnnnnny (1),evergreen (1),,perennial (7),nitrogen_fixer (1),shrub (12); tree (9),leaf (1); phyllode (3),insect (1),,post_fire_recruitment (3),fire_killed (2); partial_resprouting (1); resprouts (4),,soil_seedbank (1),long_persistent (1); persistent (2),not_serotinous (1),andromonoecious (1),not_vegetative (2),woody (6),,not_parasitic (1),absent (1),less_than_1_month (1),salinity_tolerance_undefined (1),days (1),less_than_1_month (1),physical_dormancy (2),erect (1); spreading (3),woody (1),,,,,,,,,,,
Acacia parramattensis,,10.62,,,,,,,,,,,basal_buds (1); bud-bearing_root (1); epicormic_buds (1); none (1),,aril (1),myrmecochory (1); zoochory (1),invertebrates (1),yellow_orange (1),nnnnnnnnnnyn (2); ynnnnnnnnyyy (1); yynnnnnnnnyy (3); yynnnnnnnyyy (1); yyyynnnnnnyy (2),yynnnnnnnnny (1),evergreen (1),,perennial (4),nitrogen_fixer (1),shrub (5); tree (8),leaf (3),insect (1),,post_fire_recruitment (1),fire_killed (4),,soil_seedbank (1),persistent (2),not_serotinous (1),andromonoecious (1),not_vegetative (1); vegetative (1),woody (3),,not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),days (1); weeks (1),less_than_1_month (1),physical_dormancy (1),erect (1),,,,,,,,,,,,
Acacia parvipinnula,,6,,,,,,,,,,,none (1),,elaiosome (1),,,yellow_orange (1),nnnnnnnnyyyy (1); nnnnnyyyyyyn (2),yynnnnnnnnny (1),evergreen (1),,perennial (4),,shrub (5); tree (5),leaf (3),,,,fire_killed (3),,soil_seedbank (1),persistent (1),,andromonoecious (1),,woody (3),,,,,,,,,erect (1),,,,,,,,,,,,
Acacia podalyriifolia,1.74,5,,,,,,,,,,,none (1),,elaiosome (1),ballistic (1); myrmecochory (2); zoochory (1),ants (2); birds (1),yellow_orange (1),nnnnnnnnnnnn (1); nnnnnyynnnnn (2); yyyyyyyyyyyy (1),,evergreen (1),,perennial (9),,shrub (5); tree (9),leaf (1); phyllode (4),insect (1),,post_fire_recruitment (3),fire_killed (5),,soil_seedbank (1),long_persistent (1); persistent (1),,andromonoecious (1),,woody (7),,,,,,,,physical_dormancy (1),bushy (1); dense (1); erect (1); spreading (2),,,,,,,,,,,,
Acacia pubescens,,3,,,,,,,,,,,bud-bearing_root (1),,aril (1),,,yellow_orange (1),nnnnnnnnynnn (3); nnnnnnnyyynn (4),ynnnnnnnnnny (1),evergreen (1),,perennial (4),,shrub (5),leaf (3),,,,fire_killed (1); resprouts (1),,soil_seedbank (1),persistent (1),,andromonoecious (1),,woody (3),,,,,,,,physical_dormancy (1),spreading (1),,,,,,,,,,,,
Acacia stricta,1.5,3.21,,,,,,,,,,,basal_stem_buds (1),non_clonal (1),elaiosome (1),ballistic (1); myrmecochory (2); zoochory (1),ants (1); invertebrates (1),white_cream (1); yellow_orange (1),nnnnnnnyynnn (1); nnnnnnyyyynn (2); nnnnyyyyyynn (1),,evergreen (2),phanerophyte (1),perennial (8),nitrogen_fixer (3),shrub (11); tree (6),leaf (1); phyllode (4),insect (2),biotic_unspecialised (1),post_fire_recruitment (2),fire_killed (3); resprouts (1),,soil_seedbank (1),long_persistent (1); persistent (2),not_serotinous (1),andromonoecious (1); hermaphrodite (1); monoecious (1),not_vegetative (1),woody (5),,not_parasitic (1),absent (1),less_than_1_month (1),glycophyte (1),days (1),less_than_1_month (1),physical_dormancy (1),erect (2); spreading (1),woody (2),,,,,,,,,,,
Acacia suaveolens,1.71,2.27,,,,,,,,,,,bud-bearing_root (1); none (1),non_clonal (1),aril (1); elaiosome (2),ballistic (1); myrmecochory (5); zoochory (4),ants (2); invertebrates (3),white_cream (1); yellow_orange (1),nnnyyyyyynnn (2); nnnyyyyyyynn (3); nnyyyyyynnnn (1),,evergreen (2),phanerophyte (1),perennial (8),nitrogen_fixer (7),shrub (17); tree (1),leaf (1); phyllode (4),insect (4),biotic_unspecialised (1),post_fire_recruitment (2),fire_killed (9); partial_resprouting (1),arbuscular_mycorrhizal (1); ectomycorrhizal (1),soil_seedbank (2),long_persistent (1); persistent (4),not_serotinous (1),andromonoecious (1); hermaphrodite (1); monoecious (1),not_vegetative (3),woody (5),,not_parasitic (3),absent (3),less_than_1_month (3),glycophyte (3),not_applicable (3),less_than_1_month (3),physical_dormancy (2),erect (2); prostrate (1); spindly (1),woody (2),,,,,,,,,,,
Acer negundo,,14.5,,,,,,,,,,,,,,,,green (1); yellow_orange (1),nnnnnnnnynnn (1); nnnnnnnnyyyn (1),yynnnnnnnnny (1),,,perennial (4),,tree (4),leaf (3),,,,resprouts (1),,,,,dioecious (3),not_vegetative (1),woody (4),,,,,,,,,open (1),,,,,,,,,,,,
